item_no	item_desc_1	item_desc_2	last_cost	avg_cost	std_cost
30100122840APET	APET	.012 x 28 x 40	1.50	1.50	4.04
3010015250523	PVC SHEET CLEAR	.015X25X52	0	0	3.01
301002860096ACR	PVC/ACRILIC ALLOY HAIRCELL 1 S	.028 X 60 X 96 BLACK # 4335	25.08	25.08	36.85
3010030480961	PVC SHEET GRAY	.032 50.5 X 99.5 TYPE I	65.32	63.79	71.84
3010060210519	PVC SHEET BLACK	.060 x 21" x 51"	9.67	9.67	24.53
3010060210519	PVC SHEET BLACK	.060 x 21" x 51"	0	0	23.36
3010060480961	PVC SHEET GRAY	.060 X 48 X 96 TYPE I	24.70	24.85	41.09
3010060480962	PVC SHEET WHITE	.060 48X96 TYPE I	14.25	14.75	26.81
3010060480963	PVC SHEET CLEAR	.060 48 X 96 TYPE I	25.05	28.42	79.87
3010060480967	PCV SHEET GRAY	.060 48 X 96 TYPE 2	20.68	19.44	44.57
301006048096USA	.060 X 48 X 96 GREY PVC		26.92	26.92	31.09
3010079480962	PVC SHEET WHITE	.079 x 48 x 96 TYPE1	29.36	28.39	39.53
3010093480961	PVC SHEET GRAY	.093 X 48 X 96  TYPE I	40.12	39.83	61.62
3010093480962	PVC SHEET WHT.(MIN BUY 48 EA)	.093 48X96 TYPE I	26.28	26.23	43.55
3010093480967	PVC  SHEET GREY	.093 X 48 X96 TYPE II	26.28	41.80	86.19
3010125360968	PVC DIAMOND MESH GREY	1/8 36 X 96 TYPE I	0	73.71	183.73
3010125480961	PVC SHEET GRAY	.125 X 48 X 96TYPE I	48.71	48.71	81.11
3010125480962	PVC SHEET WHITE	.125 48 X 96 TYPE I	65.42	65.42	68.73
3010125480963	PVC SHEET CLEAR	.125 48 X 96 TYPE I	151.89	151.89	202.41
3010125480963P	1/8" 48 X 96" WATERCLEAR PVC	SHEET	69.54	69.73	106.56
3010125480964	PVC SHEET BLUE	.125 X 48 X 96	43.27	43.27	77.29
3010125480965	PVC GREY TYPE I	PERFORATED WITH 1/8 HOLES	54.45	54.45	249.58
30101254809650	PVC GREY PERFORAted	1/8 X 48 X 96W 1/8" DIA. HOLES	0	0	249.58
30101254809652	PVC 1/8 HOLES WITH A 3/8	STAGGER CENTER	72.00	72.06	127.41
301012548096522	PVC WHITE PERFORATED W/1/8"DIA	3/8" STAGGERED CENTERS	0	0	238.26
301012548096523	PVC 1/8X48X96 WHITE PERFORATED	1/8 DIA - 3/16 OFF CENTER	84.85	84.85	240.54
3010125480966	PVC WHITE TYPE 2	.125" X 48 X 96	53.63	53.63	75.12
3010125480967	PVC SHEET TYPE 2 GRAY	.125 48 X 96	26.46	26.46	98.49
30101254809671	PVC TYPE GREY II	1/8 X 48 X 96 HAIRCELL 1 SIDE	0	0	72.16
3010125480967H	PVC GRAY TYPE II	1/8 x 48 x 96 HPG material	30.00	30.00	72.16
3010125480968	PVC EXPANDED  DIAMOND MESH	1/8 X 48 X 96 GREY TYPE I	98.28	98.28	184.08
3010125480969	PVC TYPE II HAIR CELL 1 SIDE	1/8 X 48 X 96  2ND GRADE	0	27.66	72.16
301012548096IND	PVC SHEET CLEAR INDUSTRIAL	.125 48 X 96	44.62	44.62	65.55
3010187480961	PVC SHEET GRAY TYPE I	.187 48 X 96	76.22	76.22	121.34
3010187480962	PVC SHEET WHITE TYPE I	.187 48 X 96	88.32	88.32	106.63
3010187480963	PVC SHEET CLEAR (blue tint)	.187 48 X 96	101.67	101.67	204.49
3010187480967	PVC SHEET GRAY TYPE 2	.187 48 X 96	63.05	59.92	147.34
301018748096IND	PVC SHEET CLEAR INDUSTRIAL	.187 X 48 X 96	66.94	66.94	98.35
301018748096PAL	PVC SHEET CLEAR	.187 X 48 X 96	114.23	114.23	177.52
3010187481201	PVC SHEET TYPE I GREY	.187 X 48 X 120	45.38	0	103.13
30102000480961P	2" x 48" x 96" Grey PVC Type I	Pressed Sheet	1750.00	1750.00	0
3010250480961	PVC SHEET GRAY TYPE I	.250 X 48 X 96	105.04	105.04	162.22
3010250480962	PVC SHEET WHITE TYPE I	.250 48X96	106.22	106.84	131.28
3010250480963	PVC SHEET CLEAR (blue tint)	.250 X 48 X 96	192.00	192.00	251.48
3010250480963P	.250 x 48 x 96	Clear PVC Type 1	139.14	139.14	0
3010250480963V	PVC CLEAR TYPE 1	.250" X 48 X 96	182.20	182.20	247.63
3010250480964	PVC SHEET  TYPE I BLUE	.250 X 48 X 96	67.25	67.25	189.74
3010250480965	PVC GREY TYPE I 1/4 X 48 X 96	PERFORATED WITH 1/4 HOLES	102.30	102.30	429.48
301025048096501	PVC GRAY  1/4 X 48 X 96	PERFORATED 1/4"DIA,3/8 STAGGER	142.00	142.00	455.24
30102504809652	PVC WHT.  1/4 HOLES WITH	A 5/8 STAGGER CENTER	146.00	142.96	390.42
3010250480967	PVC SHEET TYPE 2 GRAY	.250  X 48 X 96	181.48	181.48	251.56
3010250480969	PVC GREY TYPE 1  TEXTURED	1/4 X 48 X 96	49.35	49.35	114.61
301025048096PAL	1/4" X 48" X 96" CLEAR PVC	TYPE I SHEET	146.46	146.46	0
3010250481202	PVC SHEET WHITE TYPE I	1/4 X 48 X 120	73.67	73.67	153.41
3010375200361	3/8x20x36 Grey PVC		25.10	0	0
3010375480961	PVC SHEET GRAY TYPE I	.375 48 X 96	157.56	160.64	243.33
30103754809611	PVC GRAY TYPE 1	3/8 x 48 x96 POLYMASKED 1 SIDE	159.56	159.56	243.33
3010375480962	PVC SHEET WHITE TYPE I	.375 48 X 96	166.41	166.41	244.48
3010375480963	PVC SHEET CLEAR TYPE I	.375 48X96	231.91	231.91	383.45
3010375480967	PVC SHEET TYPE 2 GRAY	.375 48 X 96	105.20	105.20	295.45
3010375481201	PVC SHEET GRAY TYPE I	3/8 x 48 x 120	127.45	127.45	218.61
30105000480963V	PVC CLEAR TYPE 1	.500" X 48 X 96	304.59	304.59	488.43
3010500480961	PVC SHEET GRAY  TYPE I	.500 X 48 X 96	221.86	220.00	324.44
30105004809611	PVC  Grey  TYPE I Polymasked	.500x48x96	210.08	210.08	324.44
3010500480962	PVC SHEET WHITE TYPE I	.500 48 X 96	212.43	212.43	267.24
3010500480963	PVC SHEET CLEAR TYPE I	.500 48 X 96 (blue tint)	367.86	345.74	488.43
3010500480967	PVC SHEET TYPE 2 GRAY	.500 48 X 96	175.39	175.39	393.92
301050048096PAL	1/2" x 48" x 96" CLEAR PVC	TYPE I PLASTIC SHEET	292.88	292.88	0
301050048096USA	1/2" X 48" X 96" GREY PVC		217.90	217.90	251.67
3010500481201	PVC GRAY TYPE I	1/2 x 48x120	0	0	290.97
3010500600963	PVC CLEAR TYPE I	1/2 X 60 X 96	229.18	229.18	554.26
3010500601201	PVC  GRAY TYPE 1	1/2 x 60 x 120	243.54	121.77	341.14
3010625480961	PVC SHEET  GRAY TYPE I	.625 48 X 96	276.04	276.04	405.55
301075024048USA	3/4" X 24" X 48" GREY PVC		89.74	89.74	103.65
3010750480961	PVC SHEET GRAY TYPE I	.750 X 48' X 96'	299.28	301.43	497.00
3010750480962	PVC SHEET WHITE TYPE I	.750 48X96	387.58	387.58	410.69
3010750480963	PVC CLEAR TYPE II	3/4 X 48 X 96	801.63	801.63	1154.55
3010750480967	PVC SHEET GRAY TYPE 2	.750 48 X 96	317.63	317.63	722.29
3011000480961	PVC SHEET GRAY TYPE I	1.000 X 48 X 96	443.00	443.00	685.32
3011000480962	PVC SHEET  WHITE TYPE I	1.000 48 X 96	327.42	337.10	718.33
3011000480967	PVC SHEET TYPE 2 GRAY	1.000 48 X 96	598.14	426.66	920.85
3011000481201	PVC SHEET GRAY TYPE I	1 X 48 X 120	415.37	415.37	596.79
3011250480961	PVC SHEET GRAY TYPE I	1.250 48 X 96	511.16	511.16	1169.78
3011500390781	PVC GREY TYPE I	1-1/2 (40MM) X 39 X 78	406.69	406.69	851.57
3011500480961	PVC SHEET GRAY TYPE I	1.500 48 X 96	747.75	747.75	1403.74
3011750480961	PVC SHEET GRAY TYPE I	1.750 48 X 96	922.89	922.77	1809.27
3012000390781	PVC  GRAY TYPE I	2 X 39-1/2 X 78-3/4	862.41	862.41	1186.45
3012000480961	PVC SHEET  GRAY TYPE I	2.000 48 X 96	991.48	991.48	2528.06
